prediction,target_set,snr_db,mean_abs_deviation_pct_points
8x8_to_4x4,"l,r,w,y",-17,5.5
8x8_to_4x4,"l,r,w,y",-13,5.2
8x8_to_4x4,"l,r,w,y",-9,4.5
8x8_to_4x4,"l,r,w,y",-5,3.7
8x8_to_4x4,"f,h,l,r",-17,5.9
8x8_to_4x4,"f,h,l,r",-13,4.7
8x8_to_4x4,"f,h,l,r",-9,3.4
8x8_to_4x4,"f,h,l,r",-5,2.8
8x8_to_4x4,"f,h,hw,#",-17,NA
8x8_to_4x4,"f,h,hw,#",-13,3.3
8x8_to_4x4,"f,h,hw,#",-9,1.8
8x8_to_4x4,"f,h,hw,#",-5,4.6
8x8_to_2x2,"f,h",-13,6.8
4x4_to_2x2,"f,h",-13,5.0
4x4_to_2x2,"f,h",-13,5.6
8x8_to_2x2,"f,w",-13,15.4
8x8_to_2x2,"h,#",-13,3.8
4x4_to_2x2,"h,#",-13,5.8
8x8_to_2x2,"l,r",-13,7.6
4x4_to_2x2,"l,r",-13,2.2
4x4_to_2x2,"l,r",-13,8.1
8x8_to_2x2,"r,w",-13,7.4
4x4_to_2x2,"r,w",-13,11.3
8x8_to_2x2,"w,hw",-13,10.2
